common_commands
logging on
aaa authentication login
switchport access vlan
exit (Configuration)
remote-span
show cpu utilization
ip http timeout-policy
enable
cdp run
show interfaces switchport
gvrp vlan-creation-forbid
show clock
show access-lists
cdp device-id format
spanning-tree port-priority
channel-group
show rmon alarm
show management access-list
spanning-tree bpdu (Global)
police aggregate
ip http authentication
security-suite syn protection recovery
show gvrp error-statistics
voice vlan id
clock source
show banner
show cable-diagnostics cable-length
show vlan remote-span
lldp timer
snmp-server host
mac address-table aging-time
security-suite syn protection mode
logging aggregation aging-time
power inline limit-mode
time-range
ip dhcp tftp-server file
cdp mandatory-tlvs validation
show dot1x
login authentication
rmon alarm
bridge multicast reserved-address
lacp port-priority
boot system
show management access-class
clear cdp table
configure
loopback-detection interval
voice vlan oui-table
switchport trunk allowed vlan
lldp med
ip domain name
priority-queue out num-of-queues
match
show cpu input rate
voice vlan vpt
switchport general ingress-filtering disable
dot1x system-auth-control
management access-list
show power inline
show ipv6 mld snooping mrouter
show gvrp configuration
ip domain lookup
bonjour enable
hostname
show rate-limit vlan
show interfaces protected-ports
switchport general acceptable-frame-type
dot1x reauthentication
power inline priority
traffic-shape
ip igmp snooping vlan mrouter
do
port-channel load-balance
management access-class
cdp pdu
show ip http
lacp timeout
show qos
show services tcp-udp
clear arp-cache
lldp med network-policy voice auto
qos
show passwords configuration
show logging
traffic-shape queue
ip igmp snooping vlan querier version
ipv6 mld snooping vlan mrouter
username
name (MST)
ip igmp snooping vlan static
show users
show cdp entry
clock summer-time
spanning-tree loopback-guard
dir
show mac address-table
show lacp
loopback-detection enable (Global)
sntp server
show ipv6 dhcp
aaa authentication enable
set
show security-suite syn protection
cdp holdtime
clock timezone
absolute
lldp receive
lldp transmit
show fiber-ports optical-transceiver
spanning-tree forward-time
dot1x radius-attributes vlan
spanning-tree mst priority
show hosts
interface
qos cos
dot1x timeout quiet-period
disable
show history
show loopback-detection
qos advanced-mode trust
clear counters
show cdp tlv
show cdp
dot1x timeout server-timeout
snmp-server group
class-map
flowcontrol
voice vlan cos mode
dot1x host-mode
ipv6 mld snooping vlan immediate-leave
description
spanning-tree max-age
mac address-table static
ping
passwords aging
dot1x timeout tx-period
lacp system-priority
show ipv6 mld snooping groups
voice vlan cos
show class-map
snmp-server view
service-policy
wrr-queue bandwidth
power inline
qos aggregate-policer
show qos aggregate-policer
power inline limit
ip igmp snooping vlan querier
police
crypto certificate generate
trust
ca-certificate install
show policy-map
show gvrp statistics
show privilege
ipv6 default-gateway
history
traceroute
show arp
cdp log mismatch duplex
switchport mode
spanning-tree hello-time
spanning-tree pathcost method
voice vlan dscp
ip igmp snooping vlan immediate-leave
write
show qos map
eee enable (global)
snmp-server user
ip default-gateway
spanning-tree mst configuration
spanning-tree mst cost
spanning-tree mst port-priority
show startup-config
dot1x timeout reauth-period
interface range
lldp tx-delay
spanning-tree portfast
show sntp configuration
show cdp neighbors
show spanning-tree
boot host auto-config
duplex
enable authentication
cdp log mismatch native
lldp lldpdu
switchport trunk native vlan
ip igmp snooping vlan forbidden mrouter
show system languages
show vlan
dot1x timeout supp-timeout
spanning-tree mode
end
clear gvrp statistics
power inline traps enable
gvrp enable (Interface)
clear logging
ipv6 mld snooping vlan forbidden mrouter
class
dot1x max-req
show bonjour
show running-config
qos trust (Global)
clock set
speed
revision (MST)
show ip igmp snooping groups
ip http server
show voice vlan
ip dhcp tftp-server ip address
switchport general allowed vlan
snmp-server location
ip host
power inline usage-threshold
ip ssh server
dot1x violation-mode
voice vlan state
vlan
clear lldp statistics
ip telnet server
show boot
policy-map
dot1x guest-vlan enable
shutdown
snmp-server community
show ip igmp snooping mrouter
cdp timer
ip name-server
show rmon history
lldp run
show time-range
switchport general pvid
voice vlan enable
clear mac address-table
ipv6 mld snooping vlan
periodic
cdp log mismatch voip
logging host
ip http secure-server
security-suite syn protection threshold
gvrp enable (Global)
cdp advertise-v2
show lldp statistics
clear spanning-tree detected-protocols
qos trust (Interface)
show tech-support
lldp reinit
cdp enable
ip igmp snooping vlan
dot1x port-control
rmon event
exit (EXEC)
spanning-tree
snmp-server contact
spanning-tree priority
show errdisable recovery
deny (MAC)
voice vlan aging-timeout
lldp med location
deny (Management)
permit (Management)
loopback-detection enable (Interface)
show ip dhcp tftp-server
qos map dscp-queue
show ip https
copy
dot1x max-hosts
instance (MST)
reload
