command,products
clear etherlike statistics,['cbs_220']
clear gvrp statistics,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
clear host,"['cbs_250', 'cbs_350', 'cat_1300']"
clear ip arp inspection statistics,"['cbs_350', 'cat_1300']"
clear ip arp inspection statistics vlan,['cbs_220']
clear ip dhcp binding,"['cbs_350', 'cat_1300']"
clear ip dhcp snooping binding,['cbs_220']
clear ip dhcp snooping binding interface,['cbs_220']
clear ip dhcp snooping binding vlan,['cbs_220']
clear ip dhcp snooping database,"['cbs_350', 'cat_1300']"
clear ip dhcp snooping database statistics,['cbs_220']
clear ip dhcp snooping interfaces statistics,['cbs_220']
clear ip igmp counters,"['cbs_250', 'cbs_350', 'cat_1300']"
clear ip igmp snooping groups,['cbs_220']
clear ip igmp snooping statistics,['cbs_220']
clear ipv6 dhcp client,"['cbs_250', 'cbs_350', 'cat_1300']"
clear ipv6 first hop security counters,"['cbs_350', 'cat_1300']"
clear ipv6 first hop security error counters,"['cbs_350', 'cat_1300']"
clear ipv6 mld counters,"['cbs_250', 'cbs_350', 'cat_1300']"
clear ipv6 mld snooping groups,['cbs_220']
clear ipv6 mld snooping statistics,['cbs_220']
clear ipv6 neighbor binding prefix table,"['cbs_350', 'cat_1300']"
clear ipv6 neighbor binding table,"['cbs_350', 'cat_1300']"
clear ipv6 neighbors,"['cbs_250', 'cbs_350', 'cat_1300']"
clear ipv6 prefix-list,"['cbs_250', 'cbs_350', 'cat_1300']"
clear line,['cbs_220']
clear lldp statistics,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
clear lldp table,"['cbs_250', 'cbs_350', 'cat_1300']"
clear logging,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
clear logging file,"['cbs_250', 'cbs_350', 'cat_1300']"
clear login failures,['cat_1300']
clear login quiet-mode,['cat_1300']
clear mac address-table,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
clear power inline counters,"['cbs_250', 'cbs_350', 'cat_1300']"
clear power inline monitor consumption,"['cbs_250', 'cbs_350', 'cat_1300']"
clear qos statistics,"['cbs_250', 'cbs_350', 'cat_1300']"
clear queue statistics,"['cbs_250', 'cbs_350', 'cat_1300']"
clear radius server accounting,"['cbs_250', 'cbs_350', 'cat_1300']"
clear radius server rejected users,"['cbs_250', 'cbs_350', 'cat_1300']"
clear radius server statistics,"['cbs_250', 'cbs_350', 'cat_1300']"
clear radius server unknown nas,"['cbs_250', 'cbs_350', 'cat_1300']"
clear rip statistics,"['cbs_350', 'cat_1300']"
clear rmon statistics,['cbs_220']
clear sflow statistics,"['cbs_350', 'cat_1300']"
clear spanning-tree counters,"['cbs_250', 'cbs_350', 'cat_1300']"
clear spanning-tree detected-protocols,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
clear storm-control counters,"['cbs_250', 'cbs_350', 'cat_1300']"
clear switchport monitor,"['cbs_250', 'cbs_350', 'cat_1300']"
client-name,"['cbs_350', 'cat_1300']"
clock dhcp timezone,"['cbs_250', 'cbs_350', 'cat_1300']"
clock set,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
clock source,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
clock summer-time,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
clock timezone,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
configure,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
copy,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
crypto certificate generate,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
crypto certificate import,"['cbs_250', 'cbs_350', 'cat_1300']"
crypto certificate request,"['cbs_250', 'cbs_350', 'cat_1300']"
crypto key generate,['cbs_220']
crypto key generate dsa,"['cbs_250', 'cbs_350', 'cat_1300']"
crypto key generate rsa,"['cbs_250', 'cbs_350', 'cat_1300']"
crypto key import,"['cbs_250', 'cbs_350', 'cat_1300']"
crypto key pubkey-chain ssh,"['cbs_250', 'cbs_350', 'cat_1300']"
data,"['cbs_250', 'cbs_350', 'cat_1300']"
default interface,['cbs_220']
default-information originate,"['cbs_350', 'cat_1300']"
default-metric,"['cbs_350', 'cat_1300']"
default-router,"['cbs_350', 'cat_1300']"
delete,"['cbs_250', 'cbs_350', 'cat_1300']"
delete backup-config,['cbs_220']
delete startup-config,['cbs_220']
deny ( IP ),"['cbs_250', 'cbs_350', 'cat_1300']"
deny ( IPv6 ),"['cbs_250', 'cbs_350', 'cat_1300']"
deny (IP),['cbs_220']
deny (IPv6),['cbs_220']
deny (MAC),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
deny (Management),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
description,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
description 802.1x,"['cbs_250', 'cbs_350', 'cat_1300']"
device-role (IPv6 DHCP Guard),"['cbs_350', 'cat_1300']"
device-role (ND Inspection Policy),"['cbs_350', 'cat_1300']"
device-role (Neighbor Binding),"['cbs_350', 'cat_1300']"
device-role (RA Guard Policy),"['cbs_350', 'cat_1300']"
dir,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
directed-broadcast,"['cbs_250', 'cbs_350', 'cat_1300']"
disable,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
disable ports leds,"['cbs_250', 'cbs_350', 'cat_1300']"
dns-server,"['cbs_350', 'cat_1300']"
do,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
domain-name,"['cbs_350', 'cat_1300']"
dot1x auth-not-req,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x authentication,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x credentials,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x eap-max-retrans,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x guest-vlan,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x guest-vlan enable,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
dot1x guest-vlan enable (Interface),['cbs_220']
dot1x guest-vlan timeout,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x host-mode,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
dot1x mac-auth,['cat_1300']
dot1x mac-auth password,['cat_1300']
dot1x max-hosts,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
dot1x max-login-attempts,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x max-req,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
dot1x page customization,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x port-control,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
dot1x radius-attributes vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
dot1x re-authenticate,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x reauthentication,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
dot1x supplicant,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x supplicant traps authentication failure,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x supplicant traps authentication success,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x system-auth-control,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
dot1x timeout eap-timeout,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x timeout quiet-period,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
dot1x timeout reauth-period,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
dot1x timeout server-timeout,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
dot1x timeout silence-period,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x timeout supp-timeout,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
dot1x timeout supplicant-held-period,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x timeout tx-period,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
dot1x traps authentication failure,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x traps authentication quiet,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x traps authentication success,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x unlock client,"['cbs_250', 'cbs_350', 'cat_1300']"
dot1x violation-mode,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
drop-unsecure,"['cbs_350', 'cat_1300']"
duplex,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
dying-gasp enable,['cat_1300']
eee enable (global),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
eee enable (interface),"['cbs_250', 'cbs_350', 'cat_1300']"
eee lldp enable,"['cbs_250', 'cbs_350', 'cat_1300']"
enable,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
enable authentication,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
enable password,"['cbs_250', 'cbs_350', 'cat_1300']"
end,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
errdisable recovery,['cbs_220']
errdisable recovery cause,"['cbs_250', 'cbs_350', 'cat_1300']"
errdisable recovery interval,"['cbs_250', 'cbs_350', 'cat_1300']"
errdisable recovery reset,"['cbs_250', 'cbs_350', 'cat_1300']"
ethtype,"['cbs_250', 'cbs_350', 'cat_1300']"
exec-banner,"['cbs_250', 'cbs_350']"
exec-timeout,"['cbs_220', 'cbs_350', 'cat_1300']"
exit (Configuration),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
exit (EXEC),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
exit (MST),"['cbs_250', 'cbs_350', 'cat_1300']"
file-system logging,"['cbs_250', 'cbs_350', 'cat_1300']"
flowcontrol,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
green-ethernet energy-detect (global),"['cbs_250', 'cbs_350', 'cat_1300']"
green-ethernet energy-detect (interface),"['cbs_250', 'cbs_350', 'cat_1300']"
green-ethernet power-meter reset,"['cbs_250', 'cbs_350', 'cat_1300']"
green-ethernet short-reach (global),"['cbs_250', 'cbs_350', 'cat_1300']"
