command,products
ipv6 dhcp relay destination (Interface),"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 enable,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 first hop security,"['cbs_350', 'cat_1300']"
ipv6 first hop security attach-policy (VLAN mode),"['cbs_350', 'cat_1300']"
ipv6 first hop security attach-policy (port mode),"['cbs_350', 'cat_1300']"
ipv6 first hop security logging packet drop,"['cbs_350', 'cat_1300']"
ipv6 first hop security policy,"['cbs_350', 'cat_1300']"
ipv6 hop-limit,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 icmp error-interval,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 link-local default zone,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld filter,['cbs_220']
ipv6 mld last-member-query-count,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld last-member-query-interval,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld max-groups,['cbs_220']
ipv6 mld profile,['cbs_220']
ipv6 mld query-interval,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld query-max-response-time,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld robustness,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld snooping,['cbs_220']
ipv6 mld snooping (Global),"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld snooping querier,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld snooping report-suppression,['cbs_220']
ipv6 mld snooping vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld snooping vlan forbidden forward-all,['cbs_220']
ipv6 mld snooping vlan forbidden mrouter,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld snooping vlan forward-all,['cbs_220']
ipv6 mld snooping vlan immediate-leave,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld snooping vlan last-member-query-count,['cbs_220']
ipv6 mld snooping vlan last-member-query-interval,['cbs_220']
ipv6 mld snooping vlan mrouter,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld snooping vlan mrouter interface,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld snooping vlan mrouter learn pim-dvmrp,['cbs_220']
ipv6 mld snooping vlan querier,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld snooping vlan querier election,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld snooping vlan querier version,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld snooping vlan query-interval,['cbs_220']
ipv6 mld snooping vlan response-time,['cbs_220']
ipv6 mld snooping vlan robustness-variable,['cbs_220']
ipv6 mld snooping vlan static,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld snooping vlan static interface,['cbs_220']
ipv6 mld version,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 mld-proxy,"['cbs_350', 'cat_1300']"
ipv6 mld-proxy downstream protected,"['cbs_350', 'cat_1300']"
ipv6 mld-proxy downstream protected interface,"['cbs_350', 'cat_1300']"
ipv6 mld-proxy ssm,"['cbs_350', 'cat_1300']"
ipv6 multicast-routing,"['cbs_350', 'cat_1300']"
ipv6 nd advertisement-interval,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 nd dad attempts,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 nd hop-limit,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 nd inspection,"['cbs_350', 'cat_1300']"
ipv6 nd inspection attach-policy (VLAN mode),"['cbs_350', 'cat_1300']"
ipv6 nd inspection attach-policy (port mode),"['cbs_350', 'cat_1300']"
ipv6 nd inspection drop-unsecure,"['cbs_350', 'cat_1300']"
ipv6 nd inspection policy,"['cbs_350', 'cat_1300']"
ipv6 nd inspection sec-level minimum,"['cbs_350', 'cat_1300']"
ipv6 nd inspection validate source-mac,"['cbs_350', 'cat_1300']"
ipv6 nd managed-config-flag,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 nd prefix,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 nd ra interval,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 nd ra lifetime,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 nd ra suppress,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 nd raguard,"['cbs_350', 'cat_1300']"
ipv6 nd raguard attach-policy (VLAN mode),"['cbs_350', 'cat_1300']"
ipv6 nd raguard attach-policy (port mode),"['cbs_350', 'cat_1300']"
ipv6 nd raguard hop-limit,"['cbs_350', 'cat_1300']"
ipv6 nd raguard managed-config-flag,"['cbs_350', 'cat_1300']"
ipv6 nd raguard other-config-flag,"['cbs_350', 'cat_1300']"
ipv6 nd raguard policy,"['cbs_350', 'cat_1300']"
ipv6 nd raguard router-preference,"['cbs_350', 'cat_1300']"
ipv6 nd reachable-time,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 nd router-preference,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 neighbor binding,"['cbs_350', 'cat_1300']"
ipv6 neighbor binding address-config,"['cbs_350', 'cat_1300']"
ipv6 neighbor binding address-prefix,"['cbs_350', 'cat_1300']"
ipv6 neighbor binding address-prefix-validation,"['cbs_350', 'cat_1300']"
ipv6 neighbor binding attach-policy (VLAN mode),"['cbs_350', 'cat_1300']"
ipv6 neighbor binding attach-policy (port mode),"['cbs_350', 'cat_1300']"
ipv6 neighbor binding lifetime,"['cbs_350', 'cat_1300']"
ipv6 neighbor binding max-entries,"['cbs_350', 'cat_1300']"
ipv6 neighbor binding policy,"['cbs_350', 'cat_1300']"
ipv6 neighbor binding static,"['cbs_350', 'cat_1300']"
ipv6 prefix-list,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 redirects,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 route,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 source guard,"['cbs_350', 'cat_1300']"
ipv6 source guard attach-policy (port mode),"['cbs_350', 'cat_1300']"
ipv6 source guard policy,"['cbs_350', 'cat_1300']"
ipv6 ssh-client source-interface,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 unicast-routing,"['cbs_250', 'cbs_350', 'cat_1300']"
ipv6 unreachables,"['cbs_250', 'cbs_350', 'cat_1300']"
iscsi enable,"['cbs_350', 'cat_1300']"
iscsi flow,"['cbs_350', 'cat_1300']"
iscsi qos,"['cbs_350', 'cat_1300']"
jumbo-frame,['cbs_220']
key (key chain),"['cbs_250', 'cbs_350', 'cat_1300']"
key chain,"['cbs_250', 'cbs_350', 'cat_1300']"
key-string,"['cbs_250', 'cbs_350', 'cat_1300']"
lacp port-priority,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
lacp system-priority,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
lacp timeout,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
lease,"['cbs_350', 'cat_1300']"
line,"['cbs_220', 'cbs_350', 'cat_1300']"
link-flap prevention,"['cbs_250', 'cbs_350', 'cat_1300']"
lldp chassis-id,"['cbs_250', 'cbs_350', 'cat_1300']"
lldp hold-multiplier,"['cbs_250', 'cbs_350', 'cat_1300']"
lldp holdtime-multiplier,['cbs_220']
lldp lldpdu,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
lldp management-address,"['cbs_250', 'cbs_350', 'cat_1300']"
lldp med,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
lldp med fast-start repeat-count,"['cbs_250', 'cbs_350', 'cat_1300']"
lldp med fast-start-repeat-count,['cbs_220']
lldp med location,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
lldp med network-policy (Global),['cbs_220']
lldp med network-policy (Interface),['cbs_220']
lldp med network-policy (global),"['cbs_250', 'cbs_350', 'cat_1300']"
lldp med network-policy (interface),"['cbs_250', 'cbs_350', 'cat_1300']"
lldp med network-policy voice auto,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
lldp med notifications topology-change,"['cbs_250', 'cbs_350', 'cat_1300']"
lldp med tlv-select,['cbs_220']
lldp notifications,"['cbs_250', 'cbs_350', 'cat_1300']"
lldp notifications interval,"['cbs_250', 'cbs_350', 'cat_1300']"
lldp optional-tlv,"['cbs_250', 'cbs_350', 'cat_1300']"
lldp optional-tlv 802.1,"['cbs_250', 'cbs_350', 'cat_1300']"
lldp receive,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
lldp reinit,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
lldp run,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
lldp timer,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
lldp tlv-select 802.1,['cbs_220']
lldp tlv-select TLV,['cbs_220']
lldp transmit,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
lldp tx-delay,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
log aggregation on,['cbs_220']
logging aggregation aging-time,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
logging aggregation on,"['cbs_250', 'cbs_350', 'cat_1300']"
logging binding,"['cbs_350', 'cat_1300']"
logging buffered,"['cbs_250', 'cbs_350', 'cat_1300']"
logging cbd level,"['cbs_250', 'cbs_350', 'cat_1300']"
logging cbd module,"['cbs_250', 'cbs_350', 'cat_1300']"
logging console,"['cbs_250', 'cbs_350', 'cat_1300']"
logging file,"['cbs_250', 'cbs_350', 'cat_1300']"
logging host,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
logging on,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
logging origin-id,"['cbs_250', 'cbs_350', 'cat_1300']"
logging packet drop,"['cbs_350', 'cat_1300']"
logging severity,['cbs_220']
logging source-interface,"['cbs_250', 'cbs_350', 'cat_1300']"
logging source-interface-ipv6,"['cbs_250', 'cbs_350', 'cat_1300']"
login,"['cbs_250', 'cbs_350', 'cat_1300']"
login authentication,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
login delay,"['cbs_250', 'cbs_350', 'cat_1300']"
login quiet-mode access-class,"['cbs_250', 'cbs_350', 'cat_1300']"
login-banner,"['cbs_250', 'cbs_350']"
loopback-detection enable (Global),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
loopback-detection enable (Interface),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
loopback-detection interval,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
mac access-group in,['cbs_220']
mac access-list,"['cbs_250', 'cbs_350', 'cat_1300']"
mac access-list extended,['cbs_220']
mac address-table aging-time,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
mac address-table static,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
macro,"['cbs_250', 'cbs_350', 'cat_1300']"
macro auto (Global),"['cbs_250', 'cbs_350', 'cat_1300']"
macro auto built-in parameters,"['cbs_250', 'cbs_350', 'cat_1300']"
macro auto persistent,"['cbs_250', 'cbs_350', 'cat_1300']"
macro auto processing cdp,"['cbs_250', 'cbs_350', 'cat_1300']"
macro auto processing lldp,"['cbs_250', 'cbs_350', 'cat_1300']"
macro auto processing type,"['cbs_250', 'cbs_350', 'cat_1300']"
macro auto resume,"['cbs_250', 'cbs_350', 'cat_1300']"
macro auto smartport (Interface),"['cbs_250', 'cbs_350', 'cat_1300']"
macro auto smartport type,"['cbs_250', 'cbs_350', 'cat_1300']"
macro auto trunk refresh,"['cbs_250', 'cbs_350', 'cat_1300']"
macro auto user smartport macro,"['cbs_250', 'cbs_350', 'cat_1300']"
macro description,"['cbs_250', 'cbs_350', 'cat_1300']"
macro global,"['cbs_250', 'cbs_350', 'cat_1300']"
macro global description,"['cbs_250', 'cbs_350', 'cat_1300']"
macro name,"['cbs_250', 'cbs_350', 'cat_1300']"
managed-config-flag,"['cbs_350', 'cat_1300']"
management access-class,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
management access-list,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
management vlan ip dhcp client,['cbs_220']
management vlan ip-address,['cbs_220']
management vlan ipv6 dhcp client information refresh,['cbs_220']
management vlan ipv6 dhcp client stateless,['cbs_220']
management vlan ipv6-address,['cbs_220']
management vlan ipv6-address-autoconfig,['cbs_220']
management vlan ipv6-address-dhcp,['cbs_220']
management-vlan,['cbs_220']
map mac macs-group,"['cbs_250', 'cbs_350', 'cat_1300']"
map protocol protocols-group,"['cbs_250', 'cbs_350', 'cat_1300']"
map subnet subnets-group,"['cbs_250', 'cbs_350', 'cat_1300']"
match,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
match ip address (Policy Routing),"['cbs_350', 'cat_1300']"
match ipv6 address (Policy Routing),"['cbs_350', 'cat_1300']"
match ra address,"['cbs_350', 'cat_1300']"
match ra prefixes,"['cbs_350', 'cat_1300']"
match reply,"['cbs_350', 'cat_1300']"
match server address,"['cbs_350', 'cat_1300']"
max-entries,"['cbs_350', 'cat_1300']"
mdix,"['cbs_250', 'cbs_350', 'cat_1300']"
mirror,"['cbs_250', 'cbs_350', 'cat_1300']"
mkdir,"['cbs_250', 'cbs_350', 'cat_1300']"
monitor session destination,"['cbs_250', 'cbs_350', 'cat_1300']"
monitor session destination interface,['cbs_220']
monitor session destination remote-span,['cbs_220']
monitor session source,"['cbs_250', 'cbs_350', 'cat_1300']"
monitor session source interfaces,['cbs_220']
monitor session source remote-span,['cbs_220']
more,"['cbs_250', 'cbs_350', 'cat_1300']"
name,"['cbs_250', 'cbs_350', 'cat_1300']"
name (MST),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
name (vlan),['cbs_220']
negotiation,"['cbs_250', 'cbs_350', 'cat_1300']"
netbios-name-server,"['cbs_350', 'cat_1300']"
netbios-node-type,"['cbs_350', 'cat_1300']"
network,"['cbs_350', 'cat_1300']"
next-server,"['cbs_350', 'cat_1300']"
next-server-name,"['cbs_350', 'cat_1300']"
no monitor session,['cbs_220']
no sequence,['cbs_220']
no sequence (Management),['cbs_220']
operation time,"['cbs_250', 'cbs_350', 'cat_1300']"
operation time-range,['cbs_220']
option,"['cbs_350', 'cat_1300']"
other-config-flag,"['cbs_350', 'cat_1300']"
passive-interface (RIP),"['cbs_350', 'cat_1300']"
passphrase,"['cbs_250', 'cbs_350', 'cat_1300']"
password,"['cbs_250', 'cbs_350', 'cat_1300']"
password complexity history,"['cbs_250', 'cbs_350', 'cat_1300']"
password-thresh,['cbs_220']
passwords aging,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
passwords complexity,"['cbs_250', 'cbs_350', 'cat_1300']"
passwords complexity attributes,['cbs_220']
passwords complexity enable,['cbs_220']
periodic,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
permit ( IP ),"['cbs_250', 'cbs_350', 'cat_1300']"
permit ( IPv6 ),"['cbs_250', 'cbs_350', 'cat_1300']"
permit ( MAC ),"['cbs_250', 'cbs_350', 'cat_1300']"
permit (IP),['cbs_220']
permit (IPv6),['cbs_220']
permit (MAC),['cbs_220']
permit (Management),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ping,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
pnp device,"['cbs_250', 'cbs_350', 'cat_1300']"
pnp discovery timeout,"['cbs_250', 'cbs_350', 'cat_1300']"
pnp enable,"['cbs_250', 'cbs_350', 'cat_1300']"
pnp reconnect interval,"['cbs_250', 'cbs_350', 'cat_1300']"
pnp resume,"['cbs_250', 'cbs_350', 'cat_1300']"
pnp transport,"['cbs_250', 'cbs_350', 'cat_1300']"
pnp watchdog timeout,"['cbs_250', 'cbs_350', 'cat_1300']"
police,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
police aggregate,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
policy-map,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
port jumbo-frame,"['cbs_250', 'cbs_350', 'cat_1300']"
port leds enable,['cbs_220']
port security,"['cbs_250', 'cbs_350', 'cat_1300']"
port security max,"['cbs_250', 'cbs_350', 'cat_1300']"
port security mode,"['cbs_250', 'cbs_350', 'cat_1300']"
port security routed secure-address,"['cbs_250', 'cbs_350', 'cat_1300']"
port-channel load-balance,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
power inline,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
power inline four-pair forced,"['cbs_250', 'cbs_350', 'cat_1300']"
power inline inrush test disable,"['cbs_250', 'cbs_350', 'cat_1300']"
power inline legacy enable,['cbs_220']
power inline legacy support disable,"['cbs_250', 'cbs_350', 'cat_1300']"
power inline limit,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
power inline limit-mode,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
power inline negotiation,"['cbs_250', 'cbs_350', 'cat_1300']"
power inline powered-device,"['cbs_250', 'cbs_350', 'cat_1300']"
power inline priority,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
power inline traps enable,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
power inline usage-threshold,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
preference,"['cbs_350', 'cat_1300']"
priority-queue out num-of-queues,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
private-vlan,"['cbs_250', 'cbs_350', 'cat_1300']"
private-vlan association,"['cbs_250', 'cbs_350', 'cat_1300']"
privilege-level,"['cbs_250', 'cbs_350', 'cat_1300']"
profile range,['cbs_220']
pwd,"['cbs_250', 'cbs_350', 'cat_1300']"
qos,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
qos advanced-mode trust,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
qos aggregate-policer,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
qos cos,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
qos dscp-mutation,"['cbs_250', 'cbs_350', 'cat_1300']"
qos map cos-queue,['cbs_220']
qos map dscp-queue,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
qos map policed-dscp,"['cbs_250', 'cbs_350', 'cat_1300']"
qos map precedence-queue,['cbs_220']
qos map queue-cos,['cbs_220']
qos map queue-dscp,['cbs_220']
qos map queue-precedence,['cbs_220']
qos remark,['cbs_220']
qos statistics aggregate-policer,"['cbs_250', 'cbs_350', 'cat_1300']"
qos statistics policer,"['cbs_250', 'cbs_350', 'cat_1300']"
qos trust (Global),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
qos trust (Interface),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
qos wrr-queue wrtd,"['cbs_250', 'cbs_350', 'cat_1300']"
radius server accounting-port,"['cbs_250', 'cbs_350', 'cat_1300']"
radius server authentication-port,"['cbs_250', 'cbs_350', 'cat_1300']"
radius server enable,"['cbs_250', 'cbs_350', 'cat_1300']"
radius server group,"['cbs_250', 'cbs_350', 'cat_1300']"
radius server nas secret,"['cbs_250', 'cbs_350', 'cat_1300']"
radius server traps accounting,"['cbs_250', 'cbs_350', 'cat_1300']"
radius server traps authentication success,"['cbs_250', 'cbs_350', 'cat_1300']"
radius server user,"['cbs_250', 'cbs_350', 'cat_1300']"
radius-server deadtime,"['cbs_350', 'cat_1300']"
radius-server default-param,['cbs_220']
radius-server host,"['cbs_220', 'cbs_350', 'cat_1300']"
radius-server host source-interface,"['cbs_350', 'cat_1300']"
radius-server host source-interface-ipv6,"['cbs_350', 'cat_1300']"
radius-server key,"['cbs_350', 'cat_1300']"
radius-server retransmit,"['cbs_350', 'cat_1300']"
radius-server timeout,"['cbs_350', 'cat_1300']"
rate-limit (Ethernet),"['cbs_250', 'cbs_350', 'cat_1300']"
rate-limit (Interface),['cbs_220']
rate-limit (VLAN),['cbs_220']
rate-limit vlan,"['cbs_250', 'cbs_350', 'cat_1300']"
redirect,"['cbs_250', 'cbs_350', 'cat_1300']"
redistribute (RIP),"['cbs_350', 'cat_1300']"
reload,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
reload factory-default,['cat_1300']
remote-span,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
rename,"['cbs_250', 'cbs_350', 'cat_1300']"
renew dhcp,"['cbs_250', 'cbs_350', 'cat_1300']"
renew dhcp force-autoconfig,['cbs_220']
renew ip dhcp snooping database,['cbs_220']
resume,"['cbs_250', 'cbs_350', 'cat_1300']"
revision (MST),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
rmdir,"['cbs_250', 'cbs_350', 'cat_1300']"
rmon alarm,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
rmon collection stats,"['cbs_250', 'cbs_350', 'cat_1300']"
rmon event,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
rmon history,['cbs_220']
rmon table-size,"['cbs_250', 'cbs_350', 'cat_1300']"
route-map (Policy Routing),"['cbs_350', 'cat_1300']"
router rip,"['cbs_350', 'cat_1300']"
router-preference,"['cbs_350', 'cat_1300']"
sec-level minimum,"['cbs_350', 'cat_1300']"
security-suite deny fragmented,"['cbs_250', 'cbs_350', 'cat_1300']"
security-suite deny icmp,"['cbs_250', 'cbs_350', 'cat_1300']"
security-suite deny martian-addresses,"['cbs_250', 'cbs_350', 'cat_1300']"
security-suite deny syn,"['cbs_250', 'cbs_350', 'cat_1300']"
security-suite deny syn-fin,"['cbs_250', 'cbs_350', 'cat_1300']"
security-suite dos (Global),['cbs_220']
security-suite dos (Interface),['cbs_220']
security-suite dos ip gratuitous-arps,['cbs_220']
security-suite dos protect,"['cbs_250', 'cbs_350', 'cat_1300']"
security-suite dos syn-attack,"['cbs_250', 'cbs_350', 'cat_1300']"
security-suite enable,"['cbs_250', 'cbs_350', 'cat_1300']"
security-suite syn protection mode,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
security-suite syn protection recovery,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
security-suite syn protection threshold,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
send-lifetime,"['cbs_250', 'cbs_350', 'cat_1300']"
service cpu-utilization,"['cbs_250', 'cbs_350', 'cat_1300']"
service mirror-configuration,"['cbs_250', 'cbs_350', 'cat_1300']"
service password-recovery,"['cbs_250', 'cbs_350', 'cat_1300']"
service-acl input,"['cbs_250', 'cbs_350', 'cat_1300']"
service-acl output,"['cbs_250', 'cbs_350', 'cat_1300']"
service-policy,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
set,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
set interface active,"['cbs_250', 'cbs_350', 'cat_1300']"
set ip next-hop,"['cbs_350', 'cat_1300']"
set ipv6 next-hop,"['cbs_350', 'cat_1300']"
set router hardware-routing active,"['cbs_250', 'cbs_350', 'cat_1300']"
set stack mode,['cbs_350']
set stack unit-type,"['cbs_350', 'cat_1300']"
sflow counters-sampling,"['cbs_350', 'cat_1300']"
sflow flow-sampling,"['cbs_350', 'cat_1300']"
sflow receiver,"['cbs_350', 'cat_1300']"
sflow receiver source-interface,"['cbs_350', 'cat_1300']"
sflow receiver source-interface-ipv6,"['cbs_350', 'cat_1300']"
show (MST),"['cbs_250', 'cbs_350', 'cat_1300']"
show SSD,"['cbs_250', 'cbs_350', 'cat_1300']"
show aaa authentication lists,['cbs_220']
show access-lists,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show access-lists utilization,['cbs_220']
show accounting,"['cbs_250', 'cbs_350', 'cat_1300']"
show arp,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show arp configuration,"['cbs_250', 'cbs_350', 'cat_1300']"
show authentication methods,"['cbs_250', 'cbs_350', 'cat_1300']"
show backup-config,['cbs_220']
show banner,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show bluetooth status,['cat_1300']
show bonjour,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show boot,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show bootvar,['cbs_220']
show bootvar / show version,"['cbs_250', 'cbs_350', 'cat_1300']"
show bridge multicast address-table,"['cbs_250', 'cbs_350', 'cat_1300']"
show bridge multicast address-table static,"['cbs_250', 'cbs_350', 'cat_1300']"
show bridge multicast filtering,"['cbs_250', 'cbs_350', 'cat_1300']"
show bridge multicast mode,"['cbs_250', 'cbs_350', 'cat_1300']"
show bridge multicast reserved-address,['cbs_220']
show bridge multicast reserved-addresses,"['cbs_250', 'cbs_350', 'cat_1300']"
show bridge unicast unknown,"['cbs_250', 'cbs_350', 'cat_1300']"
show ca-certificate,"['cbs_250', 'cbs_350', 'cat_1300']"
show ca-certificate revocation,"['cbs_250', 'cbs_350', 'cat_1300']"
show cable-diagnostics cable-length,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show cable-diagnostics tdr,"['cbs_250', 'cbs_350', 'cat_1300']"
show cbd,"['cbs_250', 'cbs_350', 'cat_1300']"
show cdp,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show cdp entry,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show cdp interface,"['cbs_250', 'cbs_350', 'cat_1300']"
show cdp interfaces,['cbs_220']
show cdp neighbors,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show cdp tlv,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show cdp traffic,"['cbs_250', 'cbs_350', 'cat_1300']"
show cdp traffic (Interface),['cbs_220']
show cdp traffic global,['cbs_220']
show class-map,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show clock,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show cpld version,"['cbs_250', 'cbs_350', 'cat_1300']"
show cpu input rate,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show cpu utilization,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show crypto certificate,"['cbs_250', 'cbs_350', 'cat_1300']"
show crypto key,"['cbs_250', 'cbs_350', 'cat_1300']"
show crypto key pubkey-chain ssh,"['cbs_250', 'cbs_350', 'cat_1300']"
show dot1x,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show dot1x authenticated-hosts,['cbs_220']
show dot1x credentials,"['cbs_250', 'cbs_350', 'cat_1300']"
show dot1x guest-vlan,['cbs_220']
show dot1x locked clients,"['cbs_250', 'cbs_350', 'cat_1300']"
show dot1x sessions,['cbs_220']
show dot1x statistics,"['cbs_250', 'cbs_350', 'cat_1300']"
show dot1x users,"['cbs_250', 'cbs_350', 'cat_1300']"
show dying-gasp packets,['cat_1300']
show dying-gasp status,['cat_1300']
show eee,"['cbs_250', 'cbs_350', 'cat_1300']"
show env all,['cbs_220']
show environment,"['cbs_250', 'cbs_350', 'cat_1300']"
show errdisable interfaces,"['cbs_250', 'cbs_350', 'cat_1300']"
show errdisable recovery,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show etherchannel summary,['cbs_220']
show fiber-ports optical-transceiver,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show green-ethernet,"['cbs_250', 'cbs_350', 'cat_1300']"
show gvrp,['cbs_220']
show gvrp configuration,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show gvrp error-statistics,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
show gvrp statistics,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
